instruction,reference
Paraphrase this question: How do I control my horny emotions?,How do you control your horniness?
Paraphrase this question: What can one do after MBBS?,What do i do after my MBBS ?
Paraphrase this question: What is the best self help book you have read? Why? How did it change your life?,What are the top self help books I should read?
Paraphrase this question: What will be Hillary Clinton's policy towards India if she becomes president?,What will be Hilary Clinton's policy towards India if she become President?
Paraphrase this question: Which is the best book to study TENSOR for general relativity from basic?,Which is the best book for tensor calculus?
Paraphrase this question: What are the coolest Android hacks and tricks you know?,What are some cool hacks for Android phones?
Paraphrase this question: Which are the best motivational videos?,What are some of the best motivational clips?
Paraphrase this question: How do I lose weight fast?,What is the best way to reduce weight fast?
Paraphrase this question: How does an IQ test work and what is determined from an IQ test?,How does IQ test works?
Paraphrase this question: Is it safe to use Xiaomi mobile phones?,Is it safe or unsafe to use Xiaomi Products?
Paraphrase this question: What are the best books on cosmology?,Which is the best book for cosmology?
Paraphrase this question: Why did it take so long for NASA to find water on Mars?,How much chances are there that NASA already knew that there is water on Mars?
Paraphrase this question: Where can I learn to invest in stocks?,How can I learn more about stocks?
Paraphrase this question: What's the best way to spend a long weekend?,How do I spend my long weekend in an effective way?
Paraphrase this question: How do people join ISIS?,Why do people join ISIS?
Paraphrase this question: What are some of the most beautiful houses in the world?,Which are some of the most beautiful houses around the world?
Paraphrase this question: What is the best lesson we should learn from life?,What's the most important lesson about life?
"Paraphrase this question: If Trump were elected, would he pardon Edward Snowden?",What is Trump's take on Edward Snowden?
Paraphrase this question: How do I draw bending moment and shear force diagram for beams?,How do I draw shear force and bending moment diagrams (strength of materials)?
Paraphrase this question: What's the easiest way to learn Java programs?,What is the easiest way to learn java programming?
Paraphrase this question: What are the best websites for entrepreneurs?,What are the best websites for entrepreneur?
Paraphrase this question: Is it safe to travel to Italy now?,Is it safe to travel through Italy?
Paraphrase this question: How should I make myself brave?,How can I be more brave?
Paraphrase this question: What are the reasons that people dislike Hillary Clinton?,Why do so many people say Hillary Clinton is evil?
Paraphrase this question: When/how did you realize were not straight?,When/how did you realize you were gay/bisexual? Were you in denial?
Paraphrase this question: What the best science documentaries?,What are some good science documentaries?
"Paraphrase this question: Why do we, as human beings, use water for?",What do we use water for?
Paraphrase this question: How can I join to IB India?,How do I get into IB india?
Paraphrase this question: What are some good ways for international students in the USA to overcome culture shock?,"How can you overcome the depression, homesickness and anxiety of culture shock?"
Paraphrase this question: What if every human can read the other person's thoughts? How would life be in such a scenario?,What would happen if every human being can read the thoughts of all other human beings?
Paraphrase this question: How will the ban on existing 500 and 1000 rupee note affect India? What are the pros and cons?,What are the advantages and disadvantages of 500 and 1000 rupees ban in India?
Paraphrase this question: What are the life lessons that Batman teaches us?,What are the life lessons one can learn from Batman?
Paraphrase this question: Can mechanical energy be conserved?,When and how is mechanical energy not conserved?
"Paraphrase this question: What is the Sahara, and how do the average temperatures there compare to the ones in the Taklamakan Desert?","What is the Sahara, and how do the average temperatures there compare to the ones in the Registan Desert?"
Paraphrase this question: How can I lose 4kg weight?,What are the ways of losing weight?
Paraphrase this question: How do I create a stage name for myself?,How can I create a stage name?
Paraphrase this question: Can you grow a tree in zero gravity?,How do trees grow in a zero gravity environment?
"Paraphrase this question: ""Why does Quora mark my perfectly semantic question as, """"Needs Improvement""""?""","""What should I do if Quora marks my question as """"Needs Improvement""""?"""
Paraphrase this question: Why is Saltwater taffy candy imported in Japan?,Why is saltwater taffy candy imported in Austria?
Paraphrase this question: What are your new year resolutions for 2017?,What is your New Year Resolution for 2017?
Paraphrase this question: How will Donald trump's Victory would affect India's relationship with USA?,What is the impact of Donald Trump's victory on Indian interests?
Paraphrase this question: How can I improve my English in all aspects?,How can I continue to improve my English?
Paraphrase this question: How do I prepare for interviews?,How can I prepare for my interview?
Paraphrase this question: How will Donald Trump's presidency affect international students?,What would be the effect of Trump's presidency on international Master's students who plan to work in the US after completing the degree?
Paraphrase this question: What are stars made of?,What are stars made out of?
